"Band","Rpt Xmit","Rpt Rec","Location","call","Mode","Access","Sponsor","Region"
"144","147.0600","146.4600","Kitimat","VE7RAF","FM",".","VE7ACF","BC NORTH"
"144","147.3000","147.9000","Barriere","VE7RTN","FM","","VE7PW","BC SOUTH"
"440","442.6500","447.6500","Barriere","VA7RTN","FM","","VE7MOB","BC SOUTH"
"440","442.6500","447.6500","Clinton","VE7LMR","FM","","VE7PW","BC SOUTH"
"440","442.8750","447.8750","Barriere","VE7RTN","FM","","VE7PW","BC SOUTH"
"144","147.2400","147.8400","Kamloops","VE7KIG","FM","","VE7LGF","BC SOUTH"
"144","147.3600","147.9600","Clinton","VE7LMR","FM","162.2Hz","VE7PW","BC SOUTH"
"144","147.3000","147.9000","Sparwood","VE7RSQ","FM","100.0Hz","Karl Ehrler","BC SOUTH"
"144","146.8400","146.2400","Trail","VE7CAQ","FM","","BVARC","BC SOUTH"
"440","444.5500","449.5500","Nelson","VE7RCT","FM","","WKARC","BC SOUTH"
"144","146.6400","146.0400","Nelson","VE7RCT","FM","88.5Hz","WKARC","BC SOUTH"
"440","444.8250","449.8250","Vancouver","VE7VYL","FM","156.7Hz","BCFMCA","LOWER MAINLAND &amp; COAST"
"440","443.6750","448.6750","Burnaby","VE7CBN","FM","114.8Hz","VE7XL","LOWER MAINLAND &amp; COAST"
"440","443.2000","448.2000","Vancouver","VE7NSR","FM","","NSARC","LOWER MAINLAND &amp; COAST"
"144","147.0600","146.4600","Crawford Bay","VE7BTU","FM","100.0Hz","WKARC","BC SOUTH"
"144","146.9600","146.3600","Kamloops","VE7RKA","FM","","Kamloops ARC","BC SOUTH"
"144","147.3200","147.9200","Kamloops","VE7RLO","FM","","Kamloops ARC","BC SOUTH"
"144","145.2900","144.6900","Alberni Valley","VE7RTE","FM","141.3Hz","VE7TFM","VANCOUVER ISLAND"
"144","145.2900","144.6900","Saanich","VE7SER","FM","167.9Hz","Saanich EPCS","VANCOUVER ISLAND"
"440","442.1500","147.9200","Kamloops","VE7RLO","FM","","Kamloops ARC","BC SOUTH"
"440","432.4750","437.4750","Kamloops","VE7TSI","FM","","Kamloops ARC","BC SOUTH"
"440","443.2750","448.2750","Vancouver","VE7RCI","FM","","VE7EX","LOWER MAINLAND &amp; COAST"
"144","145.1100","144.5100","Chilliwack","VA7RSH","FM","","VE7EX","LOWER MAINLAND &amp; COAST"
"440","443.2500","448.2500","Vancouver","VE7RCH","FM","","VE7EX","LOWER MAINLAND &amp; COAST"
"440","442.1750","147.9200","Kamloops","VE7RLO","FM","","Kamloops ARC","BC SOUTH"
"440","442.4750","447.4750","Burnaby","VA7PRE","FM","","VE7RMY","LOWER MAINLAND &amp; COAST"
"440","443.5500","448.5500","Delta","VA7RPA","FM","DTMF100","VE7VDU","LOWER MAINLAND &amp; COAST"
"144","147.0800","147.6800","Hope","VE7RVB","FM","110.9Hz","FVARESS","LOWER MAINLAND &amp; COAST"
"144","145.1700","144.5700","Burnaby","VE7TEL","FM","","TPARC","LOWER MAINLAND &amp; COAST"
"144","147.2100","147.8100","Fort St. John","VE7RUC","FM","100.0Hz","BC Oil Country ARC","BC NORTH"
"440","442.8250","447.8250","Clinton","VE7LMR","FM","","VE7PW","BC SOUTH"
"440","442.3250","447.3250","Vancouver","VE7VHF","FM","100.0Hz","VE7HMW","LOWER MAINLAND &amp; COAST"
"902","915.0000","147.5250","Vancouver","VE7VHF","ATV","","VE7HMW","LOWER MAINLAND &amp; COAST"
"1200","1,246.0000","2,410.0000","Vancouver","VE7VHF","ATV","","VE7HMW","LOWER MAINLAND &amp; COAST"
"1200","1,289.0000","2,434.0000","Vancouver","VE7VHF","ATV","","VE7HMW","LOWER MAINLAND &amp; COAST"
"440","444.7000","449.7000","Chilliwack","VE7RAD","FM","","VE7IHR &amp; VE7ICX","LOWER MAINLAND &amp; COAST"
"440","444.9750","449.9750","Terrace","VE7RDD","FM","","Doug Davies, VA7DD","BC NORTH"
"144","146.9400","146.3400","Terrace","VE7RDD","FM","","Doug Davies, VA7DD","BC NORTH"
"144","146.7800","146.1800","Comox Valley","VE7RCV","FM","141.3Hz","Comox Valley ARC","VANCOUVER ISLAND"
"144","147.3300","146.7300","Mackenzie","VE7ZBK","FM","","Mackenzie ARC","BC NORTH"
"440","444.2000","449.2000","Parksville","VE7PQD","FM","","ORCA","VANCOUVER ISLAND"
"440","444.3000","449.3000","Nanoose Bay","VA7LPG","FM","141.3Hz","VE7IT","VANCOUVER ISLAND"
"144","147.2400","147.8400","Fort St. James","VE7RFF","FM","100.0Hz","VE7XJC","BC NORTH"
"144","147.2800","147.8800","Parksville","VE7PQA","FM","141.3Hz","ORCA","VANCOUVER ISLAND"
"440","442.5250","447.5250","Nanaimo","VE7IPM","FM","141.3Hz","VA7MPG","VANCOUVER ISLAND"
"144","145.4300","144.8300","Prince George","VE7RES","FM","100.0Hz","PGARC","BC NORTH"
"144","146.2500","146.8500","Pouce Coupe","VE7AGJ","FM","","VE7AGJ","BC NORTH"
"440","442.1750","447.1750","Vancouver","VE7MDT","DMR","107.2Hz","VE7MDT","LOWER MAINLAND &amp; COAST"
"440","444.6000","449.6000","Osoyoos","VE7OSY","FM","107.2Hz","VA7WCN","BC SOUTH"
"440","444.9500","449.9500","Vancouver","VE7RNV","FM","","NSARC","LOWER MAINLAND &amp; COAST"
"144","147.0000","147.6000","Squamish","VE7SQR","FM","77.0Hz","VE7CUU","LOWER MAINLAND &amp; COAST"
"52","52.9700","51.2700","Victoria","VE7RFR","FM","","VE7DAT","VANCOUVER ISLAND"
"144","146.7400","146.1400","100 Mile House","VE7SCQ","FM","162.2Hz","Kevin Larsen","BC SOUTH"
"144","147.3800","147.9800","Barriere","VA7RTN","FM","","VE7MOB","BC SOUTH"
"144","146.6400","146.0400","Fort St. John","VE7RSJ","FM","100.0Hz","BC Oil Country ARC","BC NORTH"
"144","145.4900","144.8900","Port Coquitlam","VA7RPC","FM","94.8Hz","Poco Fire Rescue","LOWER MAINLAND &amp; COAST"
"144","146.8000","146.2000","Alexis Creek","VA7TRU","FM","162.2Hz","VE7PW","BC SOUTH"
"144","146.8000","146.2000","Vernon","VE7EGO","FM","","NORAC","BC SOUTH"
"144","146.8500","146.2500","FairmontHotSpring","VE7RIN","FM","","EKARC","BC SOUTH"
"144","146.9400","146.3400","Nakusp","VE7RDM","FM","100.0Hz","Nakusp ARC","BC SOUTH"
"144","147.1800","147.7800","Kamloops","VE7TSI","FM","","KARC","BC SOUTH"
"440","441.1500","147.5550","Lumby","VA7NWS","FM","","VA7JMP","BC SOUTH"
"144","147.2400","147.8400","Victoria","VE7RFR","FM","","VE7DAT","VANCOUVER ISLAND"
"440","442.7000","447.7000","Victoria","VE7FRF","FM","","VE7DAT","VANCOUVER ISLAND"
"440","447.7250","442.7250","Victoria link in use","","FM","","VANCOUVER ISLAND"
"144","145.2900","144.6900","Vancouver","VA7IP","FM","100.0Hz","VE7LTD","LOWER MAINLAND &amp; COAST"
"440","444.3500","449.3500","Vernon","VE7RFM","FM","100.0Hz","VE7DQ","BC SOUTH"
"1200","1,247.0000","1,259.0000","Surrey","VA7ICM","D-Star","","ICOM","LOWER MAINLAND &amp; COAST"
"144","146.9200","146.3200","Port McNeil","VA7RNI","FM","","NIARS","VANCOUVER ISLAND"
"440","443.9750","448.9750","Langley","VE7RLY","FM","","VE7HM/LARA","LOWER MAINLAND &amp; COAST"
"220","224.8800","223.2800","Maple Ridge","VE7RMR","FM","","Maple Ridge ARC","LOWER MAINLAND &amp; COAST"
"440","443.6250","448.6250","Maple Ridge","VE7RMR","FM","156.7Hz","Maple Ridge ARC","LOWER MAINLAND &amp; COAST"
"144","147.1400","147.7400","Sorrento","VA7AHR","FM","","Shuswap ARC","BC SOUTH"
"440","441.9750","446.9750","Vancouver","VE7RHS","FM","","UBC ARS","LOWER MAINLAND &amp; COAST"
"144","145.3500","144.7500","Burnaby","VE7RBY","FM","127.3Hz","BARC","LOWER MAINLAND &amp; COAST"
"440","442.3750","447.3750","New Westminster","VA7HPS","FM","110.9Hz","VE7XS","LOWER MAINLAND &amp; COAST"
"144","146.8000","146.2000","Terrace","VE7FFU","FM","","VE7IJJ","BC NORTH"
"144","146.6800","146.0800","Kelowna","VE7HOL","FM","","OCARC","BC SOUTH"
"144","147.2000","147.8000","Revelstoke","VE7RJP","FM","88.5Hz","VE7UN","BC SOUTH"
"144","146.9400","146.3400","Vancouver","VE7RPT","FM","","BCFMCA","LOWER MAINLAND &amp; COAST"
"220","224.3000","222.7000","Vancouver","VE7RPT","FM","","BCFMCA","LOWER MAINLAND &amp; COAST"
"144","147.0200","147.6200","Vancouver","VE7RAG","DMR","","BCFMCA","LOWER MAINLAND &amp; COAST"
"440","443.5250","448.5250","Vancouver","VE7RPT","FM","","BCFMCA","LOWER MAINLAND &amp; COAST"
"1200","1,291.9400","1,271.9400","Vancouver","VE7RAG","FM","","BCFMCA","LOWER MAINLAND &amp; COAST"
"440","443.4000","448.4000","Vancouver","VE7RAG","FM","","BCFMCA","LOWER MAINLAND &amp; COAST"
"144","147.1800","147.7800","Horsefly","VE7WLP","FM","162.2Hz","VE7PW","BC NORTH"
"440","443.9000","448.9000","Victoria","VE7RFR","FM","141.3Hz","VE7DAT","VANCOUVER ISLAND"
"440","442.7250","447.7250","Langford","VE7RFR","FM","","VE7DAT","VANCOUVER ISLAND"
"144","145.0400","145.6400","Surrey","VA7ICM","D-Star","","ICOM","LOWER MAINLAND &amp; COAST"
"144","146.9400","146.3400","Osoyoos","VE7STA","FM","","VE7STA","BC SOUTH"
"144","146.9600","146.3600","Sea-to-Sky","VA7SQU","FM","151.4Hz","VE7IDQ","LOWER MAINLAND &amp; COAST"
"144","145.1500","144.5500","Vancouver","VE7ROX","FM","123.0Hz","VE7ROX","LOWER MAINLAND &amp; COAST"
"144","146.7800","146.1800","Langley","VE7LGY","FM","","LARA","LOWER MAINLAND &amp; COAST"
"440","444.7500","449.7500","Burnaby","VE7ROX","","","VE7ROX","LOWER MAINLAND &amp; COAST"
"440","439.2500","2,410.0000","Kelowna","VE7KTV","FM","","VA7UN","BC SOUTH"
"440","444.3000","449.3000","Kelowna","VE7KTV","FM","","VA7UN","BC SOUTH"
"144","146.6200","146.0200","Kelowna","VE7ROK","FM","","OCARC","BC SOUTH"
"144","147.3000","147.9000","Kelowna","VE7KTV","FM","88.5Hz","VA7UN","BC SOUTH"
"144","147.0000","147.6000","Kelowna","VE7ROW","FM","88.5Hz","OCARC","BC SOUTH"
"144","145.4700","144.8700","Sicamous","VE7QMR","?","","Shuswap ARC","BC SOUTH"
"440","444.4000","449.4000","Vancouver","VE7BAS","FM","103.5Hz","VE7BAS","LOWER MAINLAND &amp; COAST"
"440","444.4500","449.4500","Saanich","VE7SLC","FM","100.0Hz","Saanich Emerg. Pgm","VANCOUVER ISLAND"
"220","224.6000","223.0000","Vancouver","VE7NYE","FM","127.3Hz","PJ Van Baggen","LOWER MAINLAND &amp; COAST"
"440","442.6500","447.6500","Sunshine Coast","VE7SCK","FM/C4FM","100.0Hz","SunCoast ARCS","VANCOUVER ISLAND"
"144","146.7600","146.1600","Christina Lake","VE7RCL","FM","","Grand Forks ARC","BC SOUTH"
"144","146.7200","146.1200","Salmon Arm","VE7EJP","FM","88.5Hz","VA7UN","BC SOUTH"
"144","147.0800","147.6800","Merritt","VE7RIZ","","","VE7RIZ","BC SOUTH"
"144","147.1800","147.7800","Osoyoos","VE7OJP","FM","88.5Hz","VA7UN","BC SOUTH"
"440","444.4250","449.4250","Delta","VE7RDE","FM","107.2Hz","Delta ARS","LOWER MAINLAND &amp; COAST"
"144","147.3600","147.9600","Burns Lake","VE7RPM","FM","100.0Hz","PGARC","BC NORTH"
"144","146.7600","146.1600","McBride","VE7RMB","FM","100.0Hz","PGARC","BC NORTH"
"144","146.7600","146.1600","Verdun","VE7LRB","FM","100.0Hz","LDARC","BC NORTH"
"144","146.8400","146.2400","Fraser Lake","VE7RES","FM","100.0Hz","PGARC","BC NORTH"
"144","147.3000","147.9000","Williams Lake","VE7KDL","FM","162.2Hz","VE7PW","BC NORTH"
"144","147.3300","147.9300","Fort St. James","VE7DPG","FM","100.0Hz","VA7RC","BC NORTH"
"144","147.1500","147.7500","Fishpot - Nazko","VE7MBM","FM","","QRES","BC NORTH"
"144","146.6400","146.0400","Pine Pass","VE7RES","FM","100.0Hz","PGARC","BC NORTH"
"144","146.6200","146.0200","Williams Lake","VE7RTI","FM","100.0Hz","QARC/VE7EQU","BC NORTH"
"144","147.0600","147.6600","Houston","VE7RHN","FM","100.0Hz","BV ARC","BC NORTH"
"144","147.3800","147.9800","Wells/Barkerville","VE7RLS","FM","100.0Hz","QARC","BC NORTH"
"144","147.3000","147.9000","Prince George","VE7RES","FM","100.0Hz","PGARC","BC NORTH"
"144","146.8800","146.2800","Smithers","VE7RBH","FM","","BV ARC","BC NORTH"
"144","146.9100","146.3100","Red Rock","VE7RWT","FM","100.0Hz","PGARC","BC NORTH"
"144","147.2100","147.8100","Quesnel","VE7RES","FM","100.0Hz","PGARC","BC NORTH"
"144","146.9000","146.3000","White Rock","VE7RWR","FM","91.5Hz","WRARC","LOWER MAINLAND &amp; COAST"
"144","146.8800","146.2800","Hudson's Hope","VA7RHH","FM","100.0Hz","Hudson's Hope ARC","BC NORTH"
"144","147.2800","147.8800","Abbotsford","VE7ASM","FM","110.9Hz","AARESS","LOWER MAINLAND &amp; COAST"
"440","442.6000","447.6000","Kelowna","VA7MF","MMDVM","88.5Hz","VA7MF","BC SOUTH"
"144","146.8400","146.2400","Kelowna","VA7CNN","FM","88.5Hz","VA7UN","BC SOUTH"
"144","147.2600","147.8600","Kelowna","VA7UN","FM","88.5Hz","VA7UN","BC SOUTH"
"440","444.8250","449.8250","Nimpo Lake","VA7SPY","FM","88.5Hz","VE7EWS","BC NORTH"
"144","146.6200","146.0200","Courtenay","VE7NIR","FM","141.3Hz","North Island Comm","VANCOUVER ISLAND"
"440","444.9750","449.9750","Vancouver","VE7SKY","FM","","VE7WF","LOWER MAINLAND &amp; COAST"
"220","222.6000","224.2000","Osoyoos","VE7OSY","FM","156.7Hz","KARTS","BC SOUTH"
"440","441.3750","446.3750","Langley","VE7RMH","FM","","VE7HM/LARA","LOWER MAINLAND &amp; COAST"
"144","146.9100","146.3100","Courtenay","VE7RAP","FM","141.3Hz","Comox Valley ARC","VANCOUVER ISLAND"
"440","443.7000","448.7000","Courtenay","VE7NIR","FM","141.3Hz","North Island Comm","VANCOUVER ISLAND"
"440","443.8000","448.8000","Vancouver","VE7UHF","FM","","VE7MQ","LOWER MAINLAND &amp; COAST"
"144","147.1400","147.7400","Richmond","VE7RMD","FM","79.7Hz","Richmond ARC","LOWER MAINLAND &amp; COAST"
"440","442.0250","447.0250","Abbotsford","VE7RVA","DMR/FM","110.9Hz","FVERESS","LOWER MAINLAND &amp; COAST"
"220","224.2600","222.6600","Chilliwack","VE7RVA","FM","110.9Hz","FVARESS","LOWER MAINLAND &amp; COAST"
"220","224.6400","223.0400","Vancouver","VE7RVK","FM","","VECTOR","LOWER MAINLAND &amp; COAST"
"144","146.8800","146.2800","Loos","VE7RES","FM","100.0Hz","PGARC","BC NORTH"
"144","146.9400","146.3400","Prince George","VE7FG","FM","100.0Hz","PGARC","BC NORTH"
"144","147.3600","147.9600","Valemont","VE7RES","FM","100.0Hz","PGARC","BC NORTH"
"440","442.6000","447.6000","Duncan","VE7AQW","FM","141.3Hz","CVARS","VANCOUVER ISLAND"
"440","443.8250","448.8250","Victoria","VE7VEP","FM","100.0Hz","Victoria EMA","VANCOUVER ISLAND"
"220","224.8000","223.2000","Burnaby","VE7RBY","FM","127.3Hz","VE7BYY","LOWER MAINLAND &amp; COAST"
"440","442.2000","447.2000","Burnaby","VA7LNK/R","FM","110.9Hz","VE7KED","LOWER MAINLAND &amp; COAST"
"440","442.2000","447.2000","Burnaby","VA7LNK/R","","","VE7KED","LOWER MAINLAND &amp; COAST"
"144","147.3600","147.9600","Kelowna","VA7JPL","FM","88.5Hz","VA7UN","BC SOUTH"
"144","147.1000","147.7000","Kelowna","VA7NBC","FM","88.5Hz","VA7UN","BC SOUTH"
"440","444.1500","449.1500","Victoria","VE7US","FM","103.5Hz","VE7RWS","VANCOUVER ISLAND"
"144","145.1300","144.5300","Victoria","VE7US","FM","114.8Hz","VE7RWS","VANCOUVER ISLAND"
